candidate_id,rank,score,reasoning
CAND_0032887,13,0.7627,"ML Engineer with 6.1 yrs; 1 core AI skill including NLP, Elasticsearch, Hugging Face Transformers; actively engaged (81% response rate, 45-day notice)."
CAND_0000031,14,0.7626,"Experienced Recommendation Systems Engineer (6.0 yrs) at product companies; expertise in Embeddings, Hugging Face Transformers, Sentence Transformers; available in 60 days with 91% response rate."
CAND_0011687,15,0.7621,"Top-ranked Senior NLP Engineer (7.8 yrs, ideal title): Embeddings, FAISS, TensorFlow; 89% response rate; product-company background."
CAND_0076163,16,0.7616,"NLP Engineer with 6.9 years of experience; strong match on Sentence Transformers, Python, LangChain; 60-day notice period and 84% recruiter response rate."
CAND_0008295,17,0.7601,"AI Research Engineer with 6.5 yrs; 1 core AI skill including Python, BentoML, QLoRA; actively engaged (89% response rate, 45-day notice)."
CAND_0071974,18,0.7592,"Experienced Senior AI Engineer (7.8 yrs) at product companies; expertise in Embeddings, Sentence Transformers, Information Retrieval; available in 45 days with 76% response rate."
CAND_0052195,19,0.7507,"Top-ranked Computer Vision Engineer (6.3 yrs, ideal title): Sentence Transformers, NLP, Information Retrieval; 69% response rate; product-company background."
CAND_0033179,20,0.7503,"AI Research Engineer with 6.9 years of experience; strong match on Fine-tuning LLMs, Information Retrieval, OpenSearch; 30-day notice period and 84% recruiter response rate."
CAND_0030031,21,0.7495,"AI Engineer (5.7 yrs) with relevant AI/ML background in Python, RAG, Vector Search; 30-day notice period."
CAND_0061257,22,0.7485,Staff Machine Learning Engineer with 8.0 years experience; 2 core skills matched; strong behavioral signals (87% response rate).
CAND_0057736,23,0.7467,"Computer Vision Engineer (6.2 yrs) at product companies; skills include Information Retrieval, Qdrant, NLP; 90-day notice and 92% response rate."
CAND_0009691,24,0.7457,"Strong-fit Applied ML Engineer: 6.2 years, Fine-tuning LLMs, FAISS, Sentence Transformers; 64% recruiter engagement; 120-day availability."
CAND_0043384,25,0.7435,"Computer Vision Engineer with 5.2 years; solid skill match including LLMs, QLoRA, Hugging Face Transformers; 83% response rate and 60-day notice."
CAND_0027691,26,0.741,"NLP Engineer (6.5 yrs) with relevant AI/ML background in Python, LoRA, Recommendation Systems; 15-day notice period."
CAND_0092706,27,0.7403,AI Research Engineer with 5.8 years experience; 3 core skills matched; strong behavioral signals (78% response rate).
CAND_0016659,28,0.7384,"ML Engineer (4.4 yrs) at product companies; skills include Information Retrieval, Pinecone, Weaviate; 45-day notice and 89% response rate."
CAND_0077956,29,0.7374,"Strong-fit Computer Vision Engineer: 6.4 years, Weaviate, LlamaIndex, Deep Learning; 88% recruiter engagement; 120-day availability."
CAND_0007009,30,0.7367,"Recommendation Systems Engineer with 7.9 years; solid skill match including Python, Embeddings, LLMs; 62% response rate and 30-day notice."
CAND_0003791,31,0.7365,"ML Engineer (6.6 yrs) with relevant AI/ML background in LLMs, Hugging Face Transformers, Python; 45-day notice period."
CAND_0033445,32,0.7353,ML Engineer with 6.8 years experience; 2 core skills matched; strong behavioral signals (94% response rate).
CAND_0017960,33,0.7345,"Recommendation Systems Engineer (7.7 yrs) at product companies; skills include Hugging Face Transformers, Information Retrieval, Python; 60-day notice and 72% response rate."
CAND_0042506,34,0.733,"Strong-fit Search Engineer: 4.2 years, Fine-tuning LLMs, Information Retrieval, FAISS; 48% recruiter engagement; 15-day availability."
CAND_0066690,35,0.7328,"ML Engineer with 4.8 years; solid skill match including Hugging Face Transformers, TensorFlow, Pinecone; 88% response rate and 30-day notice."
CAND_0008239,36,0.7309,"AI Engineer (4.0 yrs) with relevant AI/ML background in Vector Search, FAISS, Python; 15-day notice period."
CAND_0040887,37,0.73,Machine Learning Engineer with 4.7 years experience; 2 core skills matched; strong behavioral signals (84% response rate).
CAND_0074735,38,0.7275,"Applied ML Engineer (5.5 yrs) at product companies; skills include RAG, Information Retrieval, Vector Search; 90-day notice and 77% response rate."
CAND_0089381,39,0.727,"Strong-fit Computer Vision Engineer: 6.0 years, PyTorch, LlamaIndex, Machine Learning; 81% recruiter engagement; 90-day availability."
CAND_0005538,40,0.7269,"Senior AI Engineer with 5.9 years; solid skill match including Python, Information Retrieval Systems, Deep Learning; 81% response rate and 90-day notice."
CAND_0026942,41,0.7269,"Junior ML Engineer (6.0 yrs) with relevant AI/ML background in TensorFlow, BentoML, MLflow; 30-day notice period."
CAND_0091909,42,0.7268,Machine Learning Engineer with 6.9 years experience; 3 core skills matched; strong behavioral signals (65% response rate).
CAND_0039754,43,0.7267,"Senior Applied Scientist (16.2 yrs) at product companies; skills include Python, LLMs, Fine-tuning LLMs; 30-day notice and 81% response rate."
CAND_0053591,44,0.7267,"Strong-fit AI Engineer: 5.3 years, Sentence Transformers, Embeddings, RAG; 81% recruiter engagement; 60-day availability."
CAND_0004402,45,0.7265,"AI Research Engineer with 6.0 years; solid skill match including PEFT, PyTorch, BentoML; 83% response rate and 60-day notice."
CAND_0011162,46,0.7247,"Recommendation Systems Engineer (5.8 yrs) with relevant AI/ML background in FAISS, Vector Search, Sentence Transformers; 90-day notice period."
CAND_0063622,47,0.7225,Computer Vision Engineer with 5.2 years experience; 2 core skills matched; strong behavioral signals (92% response rate).
CAND_0020708,48,0.7218,"Search Engineer (4.2 yrs) at product companies; skills include Python, LLMs, Fine-tuning LLMs; 30-day notice and 84% response rate."
CAND_0030468,49,0.7208,"Strong-fit Senior Applied Scientist: 5.4 years, Ranking Systems, Information Retrieval Systems, Machine Learning; 78% recruiter engagement; 45-day availability."
CAND_0071747,50,0.7208,"AI Research Engineer with 4.2 years; solid skill match including Python, Fine-tuning LLMs, BentoML; 87% response rate and 90-day notice."
CAND_0086022,51,0.7206,"Senior Applied Scientist (5.3 yrs) with relevant AI/ML background in Embeddings, Sentence Transformers, Vector Search; 0-day notice period."
CAND_0066999,52,0.7203,Recommendation Systems Engineer with 5.9 years experience; 4 core skills matched; strong behavioral signals (63% response rate).
CAND_0064326,53,0.7198,"Search Engineer (7.6 yrs) at product companies; skills include RAG, Python, Deep Learning; 45-day notice and 94% response rate."
CAND_0072660,54,0.7196,"Strong-fit Machine Learning Engineer: 7.1 years, Information Retrieval, FAISS, Python; 53% recruiter engagement; 30-day availability."
CAND_0088025,55,0.7172,"Staff Machine Learning Engineer with 8.6 years; solid skill match including LLMs, RAG, Python; 83% response rate and 90-day notice."
CAND_0062247,56,0.7161,"AI Engineer (7.3 yrs) with relevant AI/ML background in Vector Search, Hugging Face Transformers, RAG; 30-day notice period."
CAND_0054100,57,0.7157,Junior ML Engineer with 6.0 years experience; 2 core skills matched; strong behavioral signals (79% response rate).
CAND_0076482,58,0.7154,"ML Engineer (6.6 yrs) at product companies; skills include RAG, Pinecone, BentoML; 60-day notice and 86% response rate."
CAND_0078002,59,0.711,"Strong-fit Machine Learning Engineer: 6.3 years, Hugging Face Transformers, NLP, LlamaIndex; 86% recruiter engagement; 60-day availability."
CAND_0061265,60,0.71,"Recommendation Systems Engineer with 6.6 years; solid skill match including Hugging Face Transformers, Embeddings, Vector Search; 94% response rate and 120-day notice."
CAND_0050454,61,0.7087,"AI Engineer (6.8 yrs) with relevant AI/ML background in Fine-tuning LLMs, FAISS, LLMs; 30-day notice period."
CAND_0077498,62,0.7081,Senior Software Engineer (ML) with 5.4 years experience; 2 core skills matched; strong behavioral signals (89% response rate).
CAND_0044890,63,0.7053,"AI Research Engineer (5.0 yrs) at product companies; skills include FAISS, LoRA, LLMs; 90-day notice and 79% response rate."
CAND_0039383,64,0.7048,"Strong-fit Applied ML Engineer: 7.1 years, FAISS, Vector Search, Hugging Face Transformers; 61% recruiter engagement; 90-day availability."
CAND_0059017,65,0.7044,"AI Research Engineer with 6.8 years; solid skill match including Sentence Transformers, TensorFlow, FAISS; 75% response rate and 90-day notice."
CAND_0080534,66,0.7033,"ML Engineer (3.8 yrs) with relevant AI/ML background in Elasticsearch, OpenSearch, LangChain; 30-day notice period."
CAND_0043228,67,0.7026,Applied ML Engineer with 6.8 years experience; 3 core skills matched; strong behavioral signals (41% response rate).
CAND_0046064,68,0.7025,"Senior NLP Engineer (8.9 yrs) at product companies; skills include Python, Pinecone, PEFT; 30-day notice and 78% response rate."
CAND_0070525,69,0.7023,"Strong-fit Senior Software Engineer (ML): 5.4 years, Python, LLMs, Recommendation Systems; 93% recruiter engagement; 45-day availability."
CAND_0010603,70,0.7021,"ML Engineer with 5.3 years; solid skill match including OpenSearch, Deep Learning, PEFT; 94% response rate and 90-day notice."
CAND_0042100,71,0.7015,"Machine Learning Engineer (7.3 yrs) with relevant AI/ML background in LLMs, Elasticsearch, Recommendation Systems; 90-day notice period."
CAND_0046132,72,0.7006,AI Research Engineer with 4.3 years experience; 2 core skills matched; strong behavioral signals (94% response rate).
CAND_0095619,73,0.7003,"NLP Engineer (15.6 yrs) at product companies; skills include Hugging Face Transformers, Sentence Transformers, Fine-tuning LLMs; 30-day notice and 90% response rate."
CAND_0065195,74,0.6983,"Strong-fit Search Engineer: 5.1 years, LLMs, Hugging Face Transformers, QLoRA; 80% recruiter engagement; 45-day availability."
CAND_0049540,75,0.6974,"ML Engineer with 6.8 years; solid skill match including MLflow, Deep Learning, TensorFlow; 86% response rate and 60-day notice."
CAND_0044222,76,0.6971,"AI Engineer (7.7 yrs) with relevant AI/ML background in Hugging Face Transformers, Vector Search, Fine-tuning LLMs; 60-day notice period."
CAND_0083852,77,0.6971,Data Scientist with 6.0 years experience; 2 core skills matched; strong behavioral signals (85% response rate).
CAND_0098454,78,0.693,"AI Specialist (6.6 yrs) at product companies; skills include OpenSearch, Weaviate, MLOps; 60-day notice and 87% response rate."
CAND_0064256,79,0.6927,"Strong-fit Junior ML Engineer: 6.4 years, Python, Hugging Face Transformers, BentoML; 86% recruiter engagement; 30-day availability."
CAND_0037566,80,0.6921,"Machine Learning Engineer with 6.9 years; solid skill match including LLMs, Pinecone, QLoRA; 50% response rate and 15-day notice."
CAND_0077285,81,0.6907,"Recommendation Systems Engineer (5.5 yrs) with relevant AI/ML background in Sentence Transformers, Embeddings, Information Retrieval; 60-day notice period."
CAND_0036437,82,0.6901,Search Engineer with 4.8 years experience; 3 core skills matched; strong behavioral signals (87% response rate).
CAND_0051615,83,0.69,"Search Engineer (4.6 yrs) at product companies; skills include RAG, Sentence Transformers, Fine-tuning LLMs; 60-day notice and 88% response rate."
CAND_0007460,84,0.6891,"Strong-fit AI Engineer: 4.7 years, Embeddings, Information Retrieval, LangChain; 48% recruiter engagement; 120-day availability."
CAND_0014440,85,0.689,"Recommendation Systems Engineer with 6.4 years; solid skill match including FAISS, Qdrant, Elasticsearch; 64% response rate and 60-day notice."
CAND_0002120,86,0.6865,"ML Engineer (6.5 yrs) with relevant AI/ML background in RAG, Information Retrieval, Pinecone; 45-day notice period."
CAND_0050553,87,0.6862,ML Engineer with 3.6 years experience; 2 core skills matched; strong behavioral signals (95% response rate).
CAND_0093193,88,0.685,"Senior Machine Learning Engineer (7.9 yrs) at product companies; skills include Information Retrieval Systems, OpenSearch, TensorFlow; 45-day notice and 61% response rate."
CAND_0074225,89,0.6837,"Strong-fit Machine Learning Engineer: 4.3 years, Python, Hugging Face Transformers, Vector Search; 91% recruiter engagement; 120-day availability."
CAND_0040117,90,0.6833,"Recommendation Systems Engineer with 6.5 years; solid skill match including Embeddings, RAG, FAISS; 66% response rate and 15-day notice."
CAND_0098846,91,0.6827,"AI Engineer (7.6 yrs) with relevant AI/ML background in Hugging Face Transformers, PEFT, Machine Learning; 45-day notice period."
CAND_0069905,92,0.6822,Applied ML Engineer with 6.6 years experience; 3 core skills matched; strong behavioral signals (78% response rate).
CAND_0078492,93,0.6818,"Recommendation Systems Engineer (5.1 yrs) at product companies; skills include FAISS, LLMs, Machine Learning; 30-day notice and 70% response rate."
CAND_0010149,94,0.6811,"Strong-fit ML Engineer: 6.9 years, Vector Search, Milvus, Elasticsearch; 82% recruiter engagement; 90-day availability."
CAND_0036121,95,0.6809,"ML Engineer with 5.2 years; solid skill match including Information Retrieval, Embeddings, Machine Learning; 49% response rate and 60-day notice."
CAND_0018722,96,0.6795,"Recommendation Systems Engineer (6.6 yrs) with relevant AI/ML background in Hugging Face Transformers, Python, TensorFlow; 90-day notice period."
CAND_0096142,97,0.6786,Applied ML Engineer with 5.0 years experience; 3 core skills matched; strong behavioral signals (84% response rate).
CAND_0058688,98,0.6761,"AI Engineer (6.7 yrs) at product companies; skills include Embeddings, Information Retrieval, scikit-learn; 15-day notice and 74% response rate."
CAND_0081480,99,0.6757,"Strong-fit Computer Vision Engineer: 5.6 years, Fine-tuning LLMs, FAISS, Vector Search; 85% recruiter engagement; 60-day availability."
CAND_0054546,100,0.6746,"AI Research Engineer with 4.9 years; solid skill match including Qdrant, Prompt Engineering, BentoML; 92% response rate and 90-day notice."
