candidate_id,rank,score,reasoning
CAND_0050454,68,0.6942,"AI Engineer (6.8 yrs) at product companies; skills include Fine-tuning LLMs, FAISS, LLMs; 30-day notice and 77% response rate."
CAND_0044890,69,0.6941,"Strong-fit AI Research Engineer: 5.0 years, FAISS, LoRA, LLMs; 79% recruiter engagement; 90-day availability."
CAND_0098454,70,0.6937,"AI Specialist with 6.6 years; solid skill match including OpenSearch, Weaviate, MLOps; 87% response rate and 60-day notice."
CAND_0059017,71,0.693,"AI Research Engineer (6.8 yrs) with relevant AI/ML background in Sentence Transformers, TensorFlow, FAISS; 90-day notice period."
CAND_0042100,72,0.6924,Machine Learning Engineer with 7.3 years experience; 2 core skills matched; strong behavioral signals (87% response rate).
CAND_0064256,73,0.6906,"Junior ML Engineer (6.4 yrs) at product companies; skills include Python, Hugging Face Transformers, BentoML; 30-day notice and 86% response rate."
CAND_0039383,74,0.6901,"Strong-fit Applied ML Engineer: 7.1 years, FAISS, Vector Search, Hugging Face Transformers; 61% recruiter engagement; 90-day availability."
CAND_0043228,75,0.6898,"Applied ML Engineer with 6.8 years; solid skill match including Hugging Face Transformers, Sentence Transformers, Vector Search; 41% response rate and 30-day notice."
CAND_0037566,76,0.6895,"Machine Learning Engineer (6.9 yrs) with relevant AI/ML background in LLMs, Pinecone, QLoRA; 15-day notice period."
CAND_0065195,77,0.6893,Search Engineer with 5.1 years experience; 2 core skills matched; strong behavioral signals (80% response rate).
CAND_0095619,78,0.6842,"NLP Engineer (15.6 yrs) at product companies; skills include Hugging Face Transformers, Sentence Transformers, Fine-tuning LLMs; 30-day notice and 90% response rate."
CAND_0044222,79,0.6823,"Strong-fit AI Engineer: 7.7 years, Hugging Face Transformers, Vector Search, Fine-tuning LLMs; 60% recruiter engagement; 60-day availability."
CAND_0014440,80,0.6802,"Recommendation Systems Engineer with 6.4 years; solid skill match including FAISS, Qdrant, Elasticsearch; 64% response rate and 60-day notice."
CAND_0050553,81,0.6801,"ML Engineer (3.6 yrs) with relevant AI/ML background in Vector Search, LlamaIndex, MLOps; 30-day notice period."
CAND_0098846,82,0.6801,AI Engineer with 7.6 years experience; 1 core skill matched; strong behavioral signals (62% response rate).
CAND_0051615,83,0.6785,"Search Engineer (4.6 yrs) at product companies; skills include RAG, Sentence Transformers, Fine-tuning LLMs; 60-day notice and 88% response rate."
CAND_0010149,84,0.6784,"Strong-fit ML Engineer: 6.9 years, Vector Search, Milvus, Elasticsearch; 82% recruiter engagement; 90-day availability."
CAND_0002120,85,0.677,"ML Engineer with 6.5 years; solid skill match including RAG, Information Retrieval, Pinecone; 72% response rate and 45-day notice."
CAND_0036437,86,0.6764,"Search Engineer (4.8 yrs) with relevant AI/ML background in Vector Search, FAISS, Sentence Transformers; 30-day notice period."
CAND_0093193,87,0.6763,Senior Machine Learning Engineer with 7.9 years experience; 2 core skills matched; strong behavioral signals (61% response rate).
CAND_0077285,88,0.6758,"Recommendation Systems Engineer (5.5 yrs) at product companies; skills include Sentence Transformers, Embeddings, Information Retrieval; 60-day notice and 56% response rate."
CAND_0007460,89,0.674,"Strong-fit AI Engineer: 4.7 years, Embeddings, Information Retrieval, LangChain; 48% recruiter engagement; 120-day availability."
CAND_0054546,90,0.6739,"AI Research Engineer with 4.9 years; solid skill match including Qdrant, Prompt Engineering, BentoML; 92% response rate and 90-day notice."
CAND_0036121,91,0.6714,"ML Engineer (5.2 yrs) with relevant AI/ML background in Information Retrieval, Embeddings, Machine Learning; 60-day notice period."
CAND_0008297,92,0.6697,Computer Vision Engineer with 5.3 years experience; 0 core skills matched; strong behavioral signals (63% response rate).
CAND_0040117,93,0.6693,"Recommendation Systems Engineer (6.5 yrs) at product companies; skills include Embeddings, RAG, FAISS; 15-day notice and 66% response rate."
CAND_0097079,94,0.669,"Strong-fit Computer Vision Engineer: 5.7 years, LangChain, Elasticsearch, NLP; 79% recruiter engagement; 90-day availability."
CAND_0074225,95,0.6686,"Machine Learning Engineer with 4.3 years; solid skill match including Python, Hugging Face Transformers, Vector Search; 91% response rate and 120-day notice."
CAND_0069905,96,0.6683,"Applied ML Engineer (6.6 yrs) with relevant AI/ML background in Sentence Transformers, Python, Hugging Face Transformers; 90-day notice period."
CAND_0078492,97,0.6677,Recommendation Systems Engineer with 5.1 years experience; 3 core skills matched; strong behavioral signals (70% response rate).
CAND_0058688,98,0.6675,"AI Engineer (6.7 yrs) at product companies; skills include Embeddings, Information Retrieval, scikit-learn; 15-day notice and 74% response rate."
CAND_0006418,99,0.6672,"Strong-fit Machine Learning Engineer: 5.7 years, Embeddings, Weaviate, Qdrant; 92% recruiter engagement; 60-day availability."
CAND_0061655,100,0.6665,"Machine Learning Engineer with 4.6 years; solid skill match including PEFT, Pinecone, Machine Learning; 88% response rate and 15-day notice."
